,tconst,titleType,primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,filmScore
55,tt0099487,movie,Edward Scissorhands,1990,105,7.9,524333,8.07
56,tt0790636,movie,Dallas Buyers Club,2013,117,7.9,519704,8.06
57,tt0101414,movie,Beauty and the Beast,1991,84,8.0,479977,8.03
58,tt3170832,movie,Room,2015,118,8.1,450912,8.03
59,tt1250777,movie,Kick-Ass,2010,117,7.6,593911,8.01
60,tt1022603,movie,500 Days of Summer,2009,95,7.7,558737,8.01
61,tt2294629,movie,Frozen,2013,102,7.4,664541,8.01
62,tt0092005,movie,Stand by Me,1986,89,8.1,442096,8.0
63,tt0103639,movie,Aladdin,1992,90,8.0,467474,8.0
64,tt1156398,movie,Zombieland,2009,88,7.5,621995,8.0
65,tt0091763,movie,Platoon,1986,120,8.1,439890,8.0
66,tt1323594,movie,Despicable Me,2010,95,7.6,584855,7.99
67,tt0449059,movie,Little Miss Sunshine,2006,101,7.8,518554,7.99
68,tt3890160,movie,Baby Driver,2017,113,7.5,612086,7.98
69,tt0032138,movie,The Wizard of Oz,1939,102,8.1,428997,7.97
70,tt0093779,movie,The Princess Bride,1987,98,8.0,451280,7.96
71,tt2245084,movie,Big Hero 6,2014,102,7.8,502853,7.95
72,tt1318514,movie,Rise of the Planet of the Apes,2011,105,7.6,560872,7.95
73,tt1670345,movie,Now You See Me,2013,115,7.2,709046,7.95
74,tt6644200,movie,A Quiet Place,2018,90,7.5,584358,7.93
75,tt0780536,movie,In Bruges,2008,107,7.9,461863,7.92
76,tt1219289,movie,Limitless,2011,105,7.4,612814,7.92
77,tt0120903,movie,X-Men,2000,104,7.3,647182,7.91
78,tt1276104,movie,Looper,2012,119,7.4,603351,7.9
79,tt0079470,movie,Life of Brian,1979,94,8.0,422000,7.89
80,tt0095327,movie,Grave of the Fireflies,1988,89,8.5,310926,7.89
81,tt2584384,movie,Jojo Rabbit,2019,108,7.9,441977,7.88
82,tt0398286,movie,Tangled,2010,100,7.7,494917,7.87
83,tt1457767,movie,The Conjuring,2013,112,7.5,555455,7.87
84,tt0441773,movie,Kung Fu Panda,2008,92,7.6,523508,7.87
85,tt0289879,movie,The Butterfly Effect,2004,113,7.6,521543,7.87
86,tt0945513,movie,Source Code,2011,93,7.5,550202,7.86
87,tt0335266,movie,Lost in Translation,2003,102,7.7,489788,7.86
88,tt5311514,movie,Your Name.,2016,106,8.4,321111,7.86
89,tt0372183,movie,The Bourne Supremacy,2004,108,7.7,487211,7.86
90,tt0119654,movie,Men in Black,1997,98,7.3,613531,7.85
91,tt0093773,movie,Predator,1987,107,7.8,455452,7.85
92,tt0096283,movie,My Neighbor Totoro,1988,86,8.1,380877,7.84
93,tt0087332,movie,Ghostbusters,1984,105,7.8,450902,7.83
94,tt0816711,movie,World War Z,2013,116,7.0,720168,7.83
95,tt1570728,movie,"Crazy, Stupid, Love.",2011,118,7.4,565127,7.83
96,tt0088847,movie,The Breakfast Club,1985,97,7.8,437042,7.8
97,tt0268380,movie,Ice Age,2002,81,7.5,519646,7.8
98,tt0467406,movie,Juno,2007,96,7.4,549546,7.8
99,tt1772341,movie,Wreck-It Ralph,2012,101,7.7,458920,7.79
