,tconst,titleType,primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,filmScore
0,tt0078748,movie,Alien,1979,117,8.5,952151,9.01
1,tt0118799,movie,Life Is Beautiful,1997,116,8.6,743934,8.88
2,tt0075314,movie,Taxi Driver,1976,114,8.2,921793,8.82
3,tt0198781,movie,"Monsters, Inc.",2001,92,8.1,979882,8.8
4,tt0054215,movie,Psycho,1960,109,8.5,719016,8.78
5,tt0093058,movie,Full Metal Jacket,1987,116,8.3,791107,8.75
6,tt0118715,movie,The Big Lebowski,1998,117,8.1,861119,8.7
7,tt0382932,movie,Ratatouille,2007,111,8.1,826281,8.67
8,tt0083658,movie,Blade Runner,1982,117,8.1,823764,8.66
9,tt1010048,movie,Slumdog Millionaire,2008,120,8.0,878347,8.66
10,tt1205489,movie,Gran Torino,2008,116,8.1,815484,8.65
11,tt4633694,movie,Spider-Man: Into the Spider-Verse,2018,117,8.4,672807,8.65
12,tt0892769,movie,How to Train Your Dragon,2010,98,8.1,801439,8.64
13,tt0246578,movie,Donnie Darko,2001,113,8.0,850728,8.63
14,tt0034583,movie,Casablanca,1942,102,8.5,606523,8.61
15,tt2084970,movie,The Imitation Game,2014,114,8.0,825688,8.6
16,tt0457430,movie,Pan's Labyrinth,2006,118,8.2,703472,8.58
17,tt0116282,movie,Fargo,1996,98,8.1,727359,8.55
18,tt0117951,movie,Trainspotting,1996,93,8.1,726239,8.54
19,tt0364569,movie,Oldboy,2003,120,8.3,636641,8.53
20,tt2543164,movie,Arrival,2016,116,7.9,772520,8.48
21,tt1504320,movie,The King's Speech,2010,118,8.0,708303,8.46
22,tt0047396,movie,Rear Window,1954,112,8.5,522612,8.44
23,tt1119646,movie,The Hangover,2009,100,7.7,847367,8.44
24,tt1631867,movie,Edge of Tomorrow,2014,113,7.9,737820,8.44
25,tt0126029,movie,Shrek,2001,90,7.9,735011,8.43
26,tt0107048,movie,Groundhog Day,1993,101,8.0,685714,8.42
27,tt1136608,movie,District 9,2009,112,7.9,717338,8.41
28,tt1285016,movie,The Social Network,2010,120,7.8,759460,8.4
29,tt0416449,movie,300,2006,117,7.6,865083,8.4
30,tt0075148,movie,Rocky,1976,120,8.1,629035,8.4
31,tt0440963,movie,The Bourne Ultimatum,2007,115,8.0,658576,8.38
32,tt5013056,movie,Dunkirk,2017,106,7.8,740952,8.38
33,tt0120735,movie,"Lock, Stock and Two Smoking Barrels",1998,107,8.1,616776,8.37
34,tt0057012,movie,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,518667,8.37
35,tt0071853,movie,Monty Python and the Holy Grail,1975,91,8.2,570673,8.35
36,tt0780504,movie,Drive,2011,100,7.8,705200,8.33
37,tt0454921,movie,The Pursuit of Happyness,2006,117,8.0,561592,8.21
38,tt0365748,movie,Shaun of the Dead,2004,99,7.9,594530,8.21
39,tt2562232,movie,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,666917,8.2
40,tt0033467,movie,Citizen Kane,1941,119,8.3,466291,8.19
41,tt0099785,movie,Home Alone,1990,103,7.7,653283,8.18
42,tt2948356,movie,Zootopia,2016,108,8.0,547032,8.18
43,tt2872718,movie,Nightcrawler,2014,117,7.8,605176,8.16
44,tt1024648,movie,Argo,2012,120,7.7,639447,8.16
45,tt0936501,movie,Taken,2008,90,7.7,634990,8.15
46,tt0084787,movie,The Thing,1982,109,8.2,467243,8.13
47,tt0240772,movie,Ocean's Eleven,2001,116,7.7,619874,8.12
48,tt1659337,movie,The Perks of Being a Wallflower,2012,103,7.9,548526,8.12
49,tt0258463,movie,The Bourne Identity,2002,119,7.8,576728,8.11
50,tt0480249,movie,I Am Legend,2007,101,7.2,815401,8.09
51,tt0347149,movie,Howl's Moving Castle,2004,119,8.2,450173,8.09
52,tt0829482,movie,Superbad,2007,113,7.6,633463,8.08
53,tt0206634,movie,Children of Men,2006,109,7.9,529782,8.08
54,tt0470752,movie,Ex Machina,2014,108,7.7,590747,8.07
