,tconst,titleType,primaryTitle,startYear,endYear,averageRating,numVotes,seriesScore,episodeScore,totalRuntime
0,tt2560140,tvSeries,Attack on Titan,2013,2023,9.1,509792,9.05,8.22,2458
1,tt0417299,tvSeries,Avatar: The Last Airbender,2005,2008,9.3,372209,8.84,7.07,1504
2,tt2802850,tvSeries,Fargo,2014,2024,8.9,421586,8.73,6.98,2647
3,tt0475784,tvSeries,Westworld,2016,2022,8.5,532516,8.73,7.23,2185
4,tt3322312,tvSeries,Daredevil,2015,2018,8.6,474453,8.67,7.41,2080
5,tt0877057,tvSeries,Death Note,2006,2007,8.9,377996,8.61,6.78,873
6,tt4158110,tvSeries,Mr. Robot,2015,2019,8.5,418037,8.47,7.46,2199
7,tt10986410,tvSeries,Ted Lasso,2020,2023,8.8,347593,8.45,7.02,1443
8,tt0795176,tvMiniSeries,Planet Earth,2006,2006,9.4,220009,8.34,7.06,538
9,tt0367279,tvSeries,Arrested Development,2003,2019,8.7,324057,8.31,6.63,2365
10,tt5290382,tvSeries,Mindhunter,2017,2019,8.6,335436,8.29,6.97,1014
11,tt9140554,tvSeries,Loki,2021,2023,8.2,411028,8.26,7.75,586
12,tt5071412,tvSeries,Ozark,2017,2022,8.5,346412,8.26,6.89,2659
13,tt7660850,tvSeries,Succession,2018,2023,8.8,272344,8.19,7.35,2477
14,tt7767422,tvSeries,Sex Education,2019,2023,8.3,350948,8.15,6.69,1737
15,tt1266020,tvSeries,Parks and Recreation,2009,2015,8.6,287778,8.12,6.65,2712
16,tt5491994,tvMiniSeries,Planet Earth II,2016,2016,9.5,157861,8.1,7.17,297
17,tt1439629,tvSeries,Community,2009,2015,8.5,293287,8.08,6.81,2475
18,tt1355642,tvSeries,Fullmetal Alchemist: Brotherhood,2009,2010,9.1,197232,8.05,6.77,1981
19,tt2243973,tvSeries,Hannibal,2013,2015,8.5,276408,8.02,7.16,1683
20,tt12392504,tvMiniSeries,Scam 1992: The Harshad Mehta Story,2020,2020,9.3,156735,7.98,7.07,388
21,tt0098936,tvSeries,Twin Peaks,1990,1991,8.8,215252,7.95,6.86,1493
22,tt1442449,tvSeries,Spartacus,2010,2013,8.5,256854,7.94,6.95,1777
23,tt5675620,tvSeries,The Punisher,2017,2019,8.4,264799,7.91,7.07,1382
24,tt2395695,tvMiniSeries,Cosmos: A Spacetime Odyssey,2014,2014,9.3,128454,7.84,7.11,559
25,tt3398228,tvSeries,BoJack Horseman,2014,2020,8.8,188319,7.84,6.95,1980
26,tt0384766,tvSeries,Rome,2005,2007,8.7,185241,7.76,6.8,1185
27,tt3920596,tvSeries,Big Little Lies,2017,2019,8.4,224062,7.75,6.92,702
28,tt7221388,tvSeries,Cobra Kai,2018,2024,8.5,203651,7.72,6.86,1649
29,tt0193676,tvSeries,Freaks and Geeks,1999,2000,8.8,153182,7.67,6.94,804
30,tt0213338,tvSeries,Cowboy Bebop,1998,1999,8.9,138689,7.66,6.76,650
31,tt1865718,tvSeries,Gravity Falls,2012,2016,8.9,135216,7.64,6.94,946
32,tt1312171,tvSeries,The Umbrella Academy,2019,2024,7.9,275037,7.64,6.68,1500
33,tt0103359,tvSeries,Batman: The Animated Series,1992,1995,9.0,116893,7.61,6.55,1869
34,tt7335184,tvSeries,You,2018,2024,7.7,299441,7.6,6.57,1905
35,tt10155688,tvMiniSeries,Mare of Easttown,2021,2021,8.4,187477,7.59,7.05,418
36,tt3230854,tvSeries,The Expanse,2015,2022,8.5,172112,7.58,6.85,2810
37,tt5788792,tvSeries,The Marvelous Mrs. Maisel,2017,2023,8.7,142846,7.57,6.8,2364
38,tt2575988,tvSeries,Silicon Valley,2014,2019,8.5,165718,7.56,6.66,1560
39,tt4179452,tvSeries,The Last Kingdom,2015,2022,8.5,165515,7.55,7.02,2550
40,tt0487831,tvSeries,The IT Crowd,2006,2013,8.5,164296,7.55,6.67,617
41,tt0387199,tvSeries,Entourage,2004,2011,8.4,176777,7.55,6.64,2653
42,tt0904208,tvSeries,Californication,2007,2014,8.3,188364,7.54,6.48,2377
43,tt1837492,tvSeries,13 Reasons Why,2017,2020,7.5,315320,7.52,6.27,2846
44,tt2401256,tvMiniSeries,The Night Of,2016,2016,8.4,171602,7.52,7.04,521
45,tt28227737,tvSeries,Sandeep Bhaiya,2023,2023,9.2,74369,7.5,7.41,194
46,tt6257970,tvSeries,The End of the F***ing World,2017,2019,8.0,219712,7.49,6.71,337
47,tt4955642,tvSeries,The Good Place,2016,2020,8.2,189198,7.48,6.68,1169
48,tt3526078,tvSeries,Schitt's Creek,2015,2020,8.5,145858,7.46,6.56,1766
49,tt0096657,tvSeries,Mr. Bean,1990,1995,8.6,133213,7.46,6.88,418
50,tt1758429,tvMiniSeries,Spartacus: Gods of the Arena,2011,2011,8.5,145298,7.46,6.92,331
51,tt2357547,tvSeries,Jessica Jones,2015,2019,7.9,226678,7.45,6.61,2004
52,tt1474684,tvSeries,Luther,2010,2019,8.4,154216,7.44,6.77,1165
53,tt8398600,tvSeries,After Life,2019,2022,8.4,153157,7.44,6.67,507
54,tt13991232,tvMiniSeries,1883,2021,2022,8.7,115887,7.44,6.96,562
55,tt4742876,tvSeries,TVF Pitchers,2015,2022,9.1,72289,7.43,6.88,390
56,tt9253866,tvSeries,Our Planet,2019,2023,9.3,50884,7.43,7.0,600
57,tt9432978,tvSeries,Kota Factory,2019,2021,9.0,80354,7.42,6.88,392
58,tt1870479,tvSeries,The Newsroom,2012,2014,8.6,124598,7.42,6.85,1433
59,tt2788316,tvMiniSeries,Shōgun,2024,2024,9.0,79755,7.42,7.23,582
60,tt0072500,tvSeries,Fawlty Towers,1975,1979,8.8,100093,7.41,6.99,374
61,tt6769208,tvMiniSeries,Blue Planet II,2017,2017,9.3,46308,7.4,6.99,364
62,tt0081846,tvMiniSeries,Cosmos,1980,1980,9.3,43911,7.39,6.98,780
63,tt0348914,tvSeries,Deadwood,2004,2006,8.6,117555,7.39,6.74,1898
64,tt0112130,tvMiniSeries,Pride and Prejudice,1995,1995,8.8,92244,7.37,6.77,310
65,tt2431438,tvSeries,Sense8,2015,2018,8.2,162939,7.37,6.99,1483
66,tt3647998,tvSeries,Taboo,2017,2017,8.3,148933,7.36,6.96,467
67,tt0290978,tvSeries,The Office,2001,2003,8.5,123101,7.36,6.76,444
68,tt2249364,tvSeries,Broadchurch,2013,2017,8.4,127145,7.32,6.65,1143
69,tt7908628,tvSeries,What We Do in the Shadows,2019,2024,8.6,102528,7.31,6.68,1214
70,tt1695360,tvSeries,The Legend of Korra,2012,2014,8.3,137809,7.31,6.83,1216
71,tt0063929,tvSeries,Monty Python's Flying Circus,1969,1974,8.8,78756,7.31,6.51,1354
72,tt5057054,tvSeries,Tom Clancy's Jack Ryan,2018,2023,8.0,175443,7.3,6.53,1516
73,tt2017109,tvSeries,Banshee,2013,2016,8.4,123450,7.3,6.91,1949
74,tt0081912,tvSeries,Only Fools and Horses,1981,2003,9.0,56671,7.3,6.68,2825
75,tt2261227,tvSeries,Altered Carbon,2018,2020,7.9,188597,7.3,6.41,929
76,tt5348176,tvSeries,Barry,2018,2023,8.4,122315,7.3,7.01,1027
77,tt0809488,tvMiniSeries,The Godfather Saga,1977,1977,9.5,6368,7.28,7.17,419
78,tt4202274,tvSeries,The Filthy Frank Show,2011,2017,9.2,33226,7.28,6.86,447
79,tt1910272,tvSeries,Steins;Gate,2011,2015,8.8,73309,7.28,6.78,648
80,tt1533395,tvMiniSeries,Life,2009,2009,9.1,42704,7.28,6.76,654
81,tt0374463,tvMiniSeries,The Pacific,2010,2010,8.3,129888,7.27,6.67,542
82,tt0353049,tvSeries,Chappelle's Show,2003,2006,8.8,71723,7.27,6.48,698
83,tt10233448,tvSeries,Vinland Saga,2019,2023,8.8,71386,7.27,7.09,1163
84,tt5189670,tvSeries,Making a Murderer,2015,2018,8.5,102782,7.26,6.7,1245
85,tt0994314,tvSeries,Code Geass,2006,2008,8.7,80104,7.26,6.67,1303
86,tt0071075,tvSeries,The World at War,1973,1974,9.2,28870,7.25,6.84,1344
87,tt1637727,tvSeries,The Killing,2011,2014,8.3,123292,7.24,6.63,2023
88,tt4288182,tvSeries,Atlanta,2016,2022,8.6,87941,7.24,6.84,1198
89,tt10234724,tvMiniSeries,Moon Knight,2022,2022,7.3,269571,7.24,7.39,287
90,tt7049682,tvMiniSeries,Watchmen,2019,2019,8.2,134156,7.24,7.2,529
91,tt7909970,tvMiniSeries,Unbelievable,2019,2019,8.3,119604,7.23,6.77,385
92,tt0296310,tvMiniSeries,The Blue Planet,2001,2001,9.0,42669,7.22,6.64,390
93,tt2628232,tvSeries,Penny Dreadful,2014,2016,8.2,130978,7.22,6.79,1463
94,tt2234222,tvSeries,Orphan Black,2013,2017,8.3,116907,7.21,6.74,2183
95,tt6077448,tvSeries,Sacred Games,2018,2019,8.5,92812,7.21,6.7,795
96,tt2303687,tvSeries,Line of Duty,2012,2021,8.7,70100,7.21,6.75,2145
97,tt1877514,tvMiniSeries,The Vietnam War,2017,2017,9.1,27953,7.2,6.86,990
98,tt0096548,tvSeries,Blackadder Goes Forth,1989,1989,8.8,56828,7.19,6.89,176
99,tt2699128,tvSeries,The Leftovers,2014,2017,8.3,112233,7.19,7.15,1628
