,tconst,titleType,primaryTitle,startYear,endYear,averageRating,numVotes,seriesScore,episodeScore,totalRuntime
0,tt2560140,tvSeries,Attack on Titan,2013,2023,9.1,513113,9.06,8.23,2458
1,tt0141842,tvSeries,The Sopranos,1999,2007,9.2,472501,9.04,7.18,4733
2,tt0306414,tvSeries,The Wire,2002,2008,9.3,378163,8.86,7.02,3566
3,tt0417299,tvSeries,Avatar: The Last Airbender,2005,2008,9.3,374244,8.85,7.08,1504
4,tt2306299,tvSeries,Vikings,2013,2020,8.5,583849,8.82,6.74,4156
5,tt2802850,tvSeries,Fargo,2014,2024,8.9,422508,8.73,6.98,2647
6,tt0475784,tvSeries,Westworld,2016,2022,8.5,533414,8.73,7.23,2185
7,tt3322312,tvSeries,Daredevil,2015,2018,8.6,475170,8.67,7.41,2080
8,tt1442437,tvSeries,Modern Family,2009,2020,8.5,484414,8.63,6.46,5331
9,tt0877057,tvSeries,Death Note,2006,2007,8.9,379259,8.61,6.78,873
10,tt1632701,tvSeries,Suits,2011,2019,8.4,479787,8.56,6.8,5879
11,tt0098904,tvSeries,Seinfeld,1989,1998,8.9,352047,8.53,6.83,4168
12,tt4158110,tvSeries,Mr. Robot,2015,2019,8.5,418695,8.47,7.46,2199
13,tt10986410,tvSeries,Ted Lasso,2020,2023,8.8,349540,8.46,7.03,1443
14,tt0795176,tvMiniSeries,Planet Earth,2006,2006,9.4,220496,8.34,7.06,538
15,tt0367279,tvSeries,Arrested Development,2003,2019,8.7,324492,8.31,6.63,2365
16,tt5290382,tvSeries,Mindhunter,2017,2019,8.6,336735,8.29,6.97,1014
17,tt9140554,tvSeries,Loki,2021,2023,8.2,412101,8.26,7.75,586
18,tt5071412,tvSeries,Ozark,2017,2022,8.5,347375,8.26,6.89,2659
19,tt2467372,tvSeries,Brooklyn Nine-Nine,2013,2021,8.4,364188,8.25,6.66,3345
20,tt1124373,tvSeries,Sons of Anarchy,2008,2014,8.6,323900,8.25,6.9,5051
21,tt7660850,tvSeries,Succession,2018,2023,8.8,274032,8.19,7.35,2477
22,tt1796960,tvSeries,Homeland,2011,2020,8.3,361135,8.18,6.74,4978
23,tt7767422,tvSeries,Sex Education,2019,2023,8.3,351983,8.15,6.69,1737
24,tt1266020,tvSeries,Parks and Recreation,2009,2015,8.6,288358,8.12,6.65,2712
25,tt5491994,tvMiniSeries,Planet Earth II,2016,2016,9.5,158486,8.1,7.17,297
26,tt0804503,tvSeries,Mad Men,2007,2015,8.7,260850,8.08,6.85,4547
27,tt1439629,tvSeries,Community,2009,2015,8.5,293797,8.08,6.81,2475
28,tt1355642,tvSeries,Fullmetal Alchemist: Brotherhood,2009,2010,9.1,197818,8.06,6.77,1981
29,tt4052886,tvSeries,Lucifer,2016,2021,8.1,356431,8.04,6.95,4391
30,tt2243973,tvSeries,Hannibal,2013,2015,8.5,276958,8.02,7.16,1683
31,tt4786824,tvSeries,The Crown,2016,2023,8.6,257074,8.0,6.83,3279
32,tt0098936,tvSeries,Twin Peaks,1990,1991,8.8,215692,7.95,6.86,1493
33,tt1442449,tvSeries,Spartacus,2010,2013,8.5,257251,7.94,6.95,1777
34,tt1606375,tvSeries,Downton Abbey,2010,2015,8.7,225143,7.93,6.75,3013
35,tt0285403,tvSeries,Scrubs,2001,2010,8.4,270805,7.93,6.56,4328
36,tt12392504,tvMiniSeries,Scam 1992: The Harshad Mehta Story,2020,2020,9.2,157530,7.93,7.07,388
37,tt5675620,tvSeries,The Punisher,2017,2019,8.4,265339,7.91,7.07,1382
38,tt1119644,tvSeries,Fringe,2008,2013,8.4,257679,7.88,6.72,4798
39,tt2372162,tvSeries,Orange Is the New Black,2013,2019,8.0,320387,7.86,6.63,5360
40,tt3398228,tvSeries,BoJack Horseman,2014,2020,8.8,189086,7.84,6.96,1980
41,tt2395695,tvMiniSeries,Cosmos: A Spacetime Odyssey,2014,2014,9.2,128876,7.78,7.11,559
42,tt0979432,tvSeries,Boardwalk Empire,2010,2014,8.6,203309,7.78,6.81,3161
43,tt0384766,tvSeries,Rome,2005,2007,8.7,185578,7.76,6.8,1185
44,tt1405406,tvSeries,The Vampire Diaries,2009,2017,7.7,350206,7.76,6.71,7182
45,tt3920596,tvSeries,Big Little Lies,2017,2019,8.4,224573,7.75,6.91,702
46,tt0407362,tvSeries,Battlestar Galactica,2004,2009,8.7,175745,7.72,6.61,3630
47,tt2098220,tvSeries,Hunter x Hunter,2011,2014,9.0,135288,7.7,6.63,3427
48,tt0193676,tvSeries,Freaks and Geeks,1999,2000,8.8,153370,7.67,6.94,804
49,tt0213338,tvSeries,Cowboy Bebop,1998,1999,8.9,139179,7.66,6.76,650
50,tt1839578,tvSeries,Person of Interest,2011,2016,8.5,189271,7.66,7.09,4501
51,tt0214341,tvSeries,Dragon Ball Z,1996,2003,8.8,148018,7.65,6.43,6683
52,tt1865718,tvSeries,Gravity Falls,2012,2016,8.9,135810,7.65,6.94,946
53,tt0264235,tvSeries,Curb Your Enthusiasm,2000,2024,8.8,147773,7.65,6.73,3962
54,tt5555260,tvSeries,This Is Us,2016,2022,8.7,159442,7.64,6.88,4566
55,tt1312171,tvSeries,The Umbrella Academy,2019,2024,7.9,275762,7.64,6.68,1500
56,tt1486217,tvSeries,Archer,2009,2023,8.6,166061,7.61,6.5,3185
57,tt0103359,tvSeries,Batman: The Animated Series,1992,1995,9.0,117214,7.61,6.55,1869
58,tt7335184,tvSeries,You,2018,2024,7.7,300340,7.6,6.57,1905
59,tt0248654,tvSeries,Six Feet Under,2001,2005,8.7,149635,7.6,6.79,3743
60,tt10155688,tvMiniSeries,Mare of Easttown,2021,2021,8.4,188157,7.59,7.05,418
61,tt3230854,tvSeries,The Expanse,2015,2022,8.5,172567,7.58,6.85,2810
62,tt0844441,tvSeries,True Blood,2008,2014,7.9,260255,7.58,6.52,4405
63,tt5788792,tvSeries,The Marvelous Mrs. Maisel,2017,2023,8.7,143117,7.57,6.8,2364
64,tt2575988,tvSeries,Silicon Valley,2014,2019,8.5,166036,7.55,6.66,1560
65,tt4179452,tvSeries,The Last Kingdom,2015,2023,8.5,165989,7.55,7.02,2661
66,tt0487831,tvSeries,The IT Crowd,2006,2013,8.5,164564,7.55,6.67,617
67,tt0387199,tvSeries,Entourage,2004,2011,8.4,176933,7.54,6.64,2653
68,tt0052520,tvSeries,The Twilight Zone,1959,1964,9.1,93300,7.54,6.35,4369
69,tt0904208,tvSeries,Californication,2007,2014,8.3,188503,7.54,6.48,2377
70,tt1196946,tvSeries,The Mentalist,2008,2015,8.2,200876,7.53,6.56,6676
71,tt2401256,tvMiniSeries,The Night Of,2016,2016,8.4,172011,7.52,7.04,521
72,tt1837492,tvSeries,13 Reasons Why,2017,2020,7.5,315834,7.52,6.27,2846
73,tt28227737,tvSeries,Sandeep Bhaiya,2023,2023,9.2,74793,7.5,7.41,194
74,tt6257970,tvSeries,The End of the F***ing World,2017,2019,8.0,220445,7.49,6.71,337
75,tt4955642,tvSeries,The Good Place,2016,2020,8.2,189750,7.48,6.68,1169
76,tt2788316,tvMiniSeries,Shōgun,2024,2024,8.8,112577,7.47,7.28,587
77,tt3526078,tvSeries,Schitt's Creek,2015,2020,8.5,146441,7.47,6.56,1766
78,tt0096657,tvSeries,Mr. Bean,1990,1995,8.6,133846,7.46,6.88,418
79,tt1826940,tvSeries,New Girl,2011,2018,7.8,245755,7.46,6.35,3120
80,tt1758429,tvMiniSeries,Spartacus: Gods of the Arena,2011,2011,8.5,145546,7.46,6.92,331
81,tt2357547,tvSeries,Jessica Jones,2015,2019,7.9,226914,7.45,6.62,2004
82,tt2661044,tvSeries,The 100,2014,2020,7.6,276610,7.45,6.68,4184
83,tt3749900,tvSeries,Gotham,2014,2019,7.8,240870,7.44,6.74,4335
84,tt1474684,tvSeries,Luther,2010,2019,8.4,154486,7.44,6.76,1165
85,tt8398600,tvSeries,After Life,2019,2022,8.4,153478,7.44,6.67,507
86,tt13991232,tvMiniSeries,1883,2021,2022,8.7,116579,7.44,6.96,562
87,tt4742876,tvSeries,TVF Pitchers,2015,2022,9.1,72374,7.43,6.88,390
88,tt9253866,tvSeries,Our Planet,2019,2023,9.3,51367,7.43,7.0,600
89,tt9432978,tvSeries,Kota Factory,2019,2021,9.0,80496,7.42,6.88,392
90,tt1870479,tvSeries,The Newsroom,2012,2014,8.6,124835,7.42,6.85,1433
91,tt0165598,tvSeries,That '70s Show,1998,2006,8.1,189465,7.42,6.3,4409
