,tconst,titleType,primaryTitle,originalTitle,startYear,endYear,averageRating,numVotes,seriesScore,seriesRank,episodeScore,episodeRank,totalRuntime,combinedMetric
17374,tt1465055,tvSeries,Lulu & Leon,Lulu & Leon,2009,2010,6.5,153,5.75,73709,5.85,28696,376,16.818749999999998
17375,tt8899582,tvSeries,The Luke McQueen Pilots,The Luke McQueen Pilots,2018,2018,6.5,30,5.75,73709,5.85,28696,77,16.818749999999998
17376,tt2947284,tvSeries,Beauty and the Baller,Beauty and the Baller,2017,2017,6.5,44,5.75,73709,5.85,28696,22,16.818749999999998
17377,tt0144071,tvSeries,To Have & to Hold,To Have & to Hold,1998,1998,6.7,66,5.85,68111,5.75,30226,77,16.818749999999998
17378,tt13949068,tvMiniSeries,Queen's Blade: Beautiful Warriors,Queen's Blade: Beautiful Warriors,2010,2011,6.7,49,5.85,68111,5.75,30226,29,16.818749999999998
17379,tt1013119,tvMiniSeries,Iron Road,Iron Road,2009,2009,6.7,558,5.85,68111,5.75,30226,180,16.818749999999998
17380,tt1560591,tvMiniSeries,Room at the Top,Room at the Top,2012,2012,6.5,369,5.75,73709,5.85,28696,118,16.818749999999998
17381,tt1790281,tvSeries,Oprah's Master Class,Oprah's Master Class,2011,2018,5.9,226,5.45,87204,6.171875,20806,619,16.818359375
17382,tt18273742,tvSeries,Sky High,Hasta el cielo: La serie,2023,2023,6.3,1388,5.66,78770,5.942857142857143,26926,309,16.818285714285715
17383,tt10011298,tvSeries,Dragon's Dogma,Dragon's Dogma,2020,2020,6.3,4036,5.67,78738,5.931428571428571,27154,192,16.815599999999996
17384,tt1583428,tvSeries,Bachelor Pad,Bachelor Pad,2010,2012,4.7,621,4.85,100487,6.934210526315789,2992,1705,16.81546052631579
17385,tt0041037,tvSeries,Lights Out,Lights Out,1946,1952,6.8,198,5.9,64836,5.7,30854,1092,16.815
17386,tt4219290,tvSeries,Sengoku musou,Sengoku musou,2014,2015,6.4,87,5.7,76291,5.9,27612,39,16.815
17387,tt11006992,tvSeries,Sevgili Geçmis,Sevgili Geçmis,2019,2019,6.4,440,5.7,76291,5.9,27612,310,16.815
17388,tt0213341,tvSeries,Dinosaucers,Dinosaucers,1987,1987,6.4,759,5.7,76291,5.9,27612,23,16.815
17389,tt5535154,tvSeries,Bakuon!!,Bakuon!!,2016,2016,6.4,126,5.7,76291,5.9,27612,24,16.815
17390,tt0043215,tvSeries,Mark Saber,Mark Saber,1951,1953,6.8,21,5.9,64836,5.7,30854,116,16.815
17391,tt5763748,tvMiniSeries,Hoges,Hoges,2017,2017,6.8,186,5.9,64836,5.7,30854,77,16.815
17392,tt0470645,tvSeries,Dennis the Menace,Dennis the Menace,1996,1998,6.4,247,5.7,76291,5.9,27612,39,16.815
17393,tt14900826,tvSeries,The Broken Marriage Vow,The Broken Marriage Vow,2022,2022,6.8,158,5.9,64836,5.7,30854,35,16.815
17394,tt0125612,tvSeries,Clue Club,Clue Club,1976,1979,6.8,200,5.9,64836,5.7,30854,180,16.815
17395,tt14131002,tvSeries,Mist sä tuut?,Mist sä tuut?,2021,2023,6.8,52,5.9,64836,5.699999999999999,31057,77,16.814999999999998
17396,tt4333474,tvMiniSeries,Trepalium,Trepalium,2016,2016,6.4,618,5.7,76291,5.8999999999999995,27921,301,16.814999999999998
17397,tt9828696,tvSeries,Ao-chan Can't Study,Ao-chan Can't Study,2019,2019,6.4,867,5.7,76291,5.8999999999999995,27921,464,16.814999999999998
17398,tt3668942,tvMiniSeries,Wolverine vs. Sabretooth,Wolverine vs. Sabretooth,2014,2014,6.4,290,5.7,76291,5.8999999999999995,27921,232,16.814999999999998
17399,tt9140392,tvSeries,Clink,Clink,2019,2019,5.5,208,5.25,93106,6.404999999999999,13238,442,16.813125
17400,tt0062593,tvSeries,The New Adventures of Huckleberry Finn,The New Adventures of Huckleberry Finn,1968,1969,7.3,190,6.15,47492,5.467499999999999,33257,600,16.8125625
17401,tt0271242,tvSeries,Uboynaya sila,Uboynaya sila,2000,2005,6.6,709,5.8,70878,5.797169811320755,29727,2756,16.81179245283019
17402,tt2589362,tvMiniSeries,Deadtime Stories,Deadtime Stories,2012,2014,6.4,301,5.7,76291,5.8981818181818175,27987,259,16.80981818181818
17403,tt27548413,tvSeries,I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness,"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",2023,2023,6.0,283,5.5,85228,6.1125,22462,464,16.809375
17404,tt0877508,tvSeries,Jigoku sensei Nube,Jigoku sensei Nube,1996,1997,6.9,110,5.95,61763,5.65,31447,24,16.80875
17405,tt0089004,tvMiniSeries,A Death in California,A Death in California,1985,1985,6.3,209,5.65,78886,5.95,26673,77,16.80875
17406,tt0386975,tvSeries,Sabrina's Secret Life,Sabrina's Secret Life,2003,2004,6.3,557,5.65,78886,5.95,26673,63,16.80875
17407,tt13033090,tvSeries,God Shave the Queens,God Shave the Queens,2020,2022,6.9,98,5.95,61763,5.65,31447,45,16.80875
17408,tt11698668,tvSeries,Sing On! Spain,¡A cantar!,2020,2020,6.3,146,5.65,78886,5.95,26673,315,16.80875
17409,tt0069632,tvSeries,Sigmund and the Sea Monsters,Sigmund and the Sea Monsters,1973,1975,6.9,947,5.95,61763,5.65,31447,132,16.80875
17410,tt0308974,tvMiniSeries,Angel Sanctuary,Tenshi kinryoku,2000,2000,6.3,827,5.65,78886,5.95,26673,90,16.80875
17411,tt1208358,tvMiniSeries,Blade of the Immortal,Mugen no jûnin,2008,2008,6.7,720,5.85,68111,5.746153846153846,30408,503,16.807499999999997
17412,tt9426290,tvSeries,Queen Sono,Queen Sono,2020,2020,6.2,1377,5.61,80929,5.991666666666667,25918,255,16.806625000000004
17413,tt0406404,tvSeries,Coming Up,Coming Up,2003,2013,6.1,188,5.55,83382,6.0549019607843135,24139,1235,16.80235294117647
17414,tt11616774,tvSeries,Bonyo Premer Golpo,Bonyo Premer Golpo,2020,2020,6.5,194,5.75,73709,5.844117647058824,28890,658,16.80183823529412
17415,tt13288904,tvSeries,Angela Black,Angela Black,2021,2021,6.4,3723,5.71,76171,5.885000000000001,28134,298,16.801675000000003
17416,tt8785438,tvSeries,The Dead Lake,Myortvoe ozero,2019,2019,6.5,491,5.75,73709,5.84375,28891,310,16.80078125
17417,tt0070990,tvSeries,Get Christie Love!,Get Christie Love!,1974,1975,6.3,327,5.65,78886,5.947058823529411,26877,1020,16.80044117647059
17418,tt6603172,tvSeries,Tenchi Muyo! War on Geminar,Tenchi Muyo! War on Geminar,2009,2010,7.0,343,6.0,58225,5.6000000000000005,32003,141,16.8
17419,tt1032838,tvSeries,El Pantera,El Pantera,2007,2009,5.5,116,5.25,93106,6.4,13302,39,16.8
17420,tt0488918,tvSeries,Movie House,Movie House,2002,2004,5.5,33,5.25,93106,6.4,13302,39,16.8
17421,tt5244260,tvSeries,Juleønsket,Juleønsket,2015,2015,6.2,255,5.6,81005,6.0,25408,116,16.799999999999997
17422,tt0115118,tvSeries,Bruno the Kid,Bruno the Kid,1996,1997,6.2,254,5.6,81005,6.0,25408,21,16.799999999999997
17423,tt2245856,tvSeries,Neues aus der Welt des Films,Neues aus der Welt des Films,1965,1975,6.2,10,5.6,81005,6.0,25408,39,16.799999999999997
17424,tt10585042,tvMiniSeries,Inside the Bank of England,Inside the Bank of England,2019,2019,7.0,19,6.0,58225,5.6,32025,59,16.799999999999997
17425,tt1161682,tvSeries,Persona: Trinity Soul,Perusona: Toriniti sôru,2008,2008,6.2,162,5.6,81005,6.0,25408,39,16.799999999999997
17426,tt0204093,tvSeries,I Was a Sixth Grade Alien,I Was a Sixth Grade Alien,1999,2001,6.2,191,5.6,81005,6.0,25408,30,16.799999999999997
17427,tt2787764,tvSeries,Romeo and Juliet,Romeo and Juliet,2014,2014,6.2,160,5.6,81005,6.0,25408,39,16.799999999999997
17428,tt11897636,tvSeries,Rat in the Kitchen,Rat in the Kitchen,2022,2022,6.2,190,5.6,81005,6.0,25408,39,16.799999999999997
17429,tt0222648,tvSeries,WCW Saturday Night,WCW Saturday Night,1985,2000,7.3,231,6.15,47492,5.4625,33276,260,16.797187500000003
17430,tt17043406,tvSeries,Lincoln's Dilemma,Lincoln's Dilemma,2022,2022,7.3,441,6.15,47492,5.4625,33276,221,16.797187500000003
17431,tt8359610,tvMiniSeries,Death and Nightingales,Death and Nightingales,2018,2018,6.4,1983,5.71,76171,5.883333333333333,28152,180,16.796916666666664
