,tconst,primaryTitle,connection,titleType,startYear,endYear,runtimeMinutes,numVotes,averageRating
60,tt15536544,FIFA 22,Follows FIFA 13 (tt2493696),videoGame,2021,\N,\N,1499,5.5
61,tt22191396,FIFA 23,Follows FIFA 13 (tt2493696),videoGame,2022,\N,\N,1103,5.8
62,tt8968534,FIFA 19,Follows FIFA 13 (tt2493696),videoGame,2018,\N,\N,1934,6.3
63,tt2103188,Grand Theft Auto V,,videoGame,2013,\N,\N,71631,9.5
64,tt0248048,Grand Theft Auto,Followed by Grand Theft Auto V (tt2103188),videoGame,1997,\N,\N,4255,7.7
65,tt0290637,"Grand Theft Auto: London, 1969",Followed by Grand Theft Auto V (tt2103188),videoGame,1999,\N,\N,1218,7.0
66,tt3205178,"Grand Theft Auto: London, 1961",Followed by Grand Theft Auto V (tt2103188),videoGame,1999,\N,\N,432,7.0
67,tt0255202,Grand Theft Auto 2,Followed by Grand Theft Auto V (tt2103188),videoGame,1999,\N,\N,4045,7.5
68,tt0277723,Grand Theft Auto III,Followed by Grand Theft Auto V (tt2103188),videoGame,2001,\N,\N,17222,8.6
69,tt0314123,Grand Theft Auto: Vice City,Followed by Grand Theft Auto V (tt2103188),videoGame,2002,\N,\N,29482,9.2
70,tt0383385,Grand Theft Auto: San Andreas,Followed by Grand Theft Auto V (tt2103188),videoGame,2004,\N,\N,44454,9.4
71,tt0465482,Grand Theft Auto: Liberty City Stories,Followed by Grand Theft Auto V (tt2103188),videoGame,2005,\N,\N,4742,7.9
72,tt0943432,Grand Theft Auto Advance,Followed by Grand Theft Auto V (tt2103188),videoGame,2004,\N,\N,248,5.8
73,tt5053130,Grand Theft Auto: San Andreas - The Introduction,Followed by Grand Theft Auto V (tt2103188),video,2004,\N,22,378,8.0
74,tt0465482,Grand Theft Auto: Liberty City Stories,Followed by Grand Theft Auto V (tt2103188),videoGame,2005,\N,\N,4742,7.9
75,tt0802999,Grand Theft Auto IV,Followed by Grand Theft Auto V (tt2103188),videoGame,2008,\N,\N,37926,8.9
76,tt0815168,Grand Theft Auto: Vice City Stories,Followed by Grand Theft Auto V (tt2103188),videoGame,2006,\N,\N,5230,8.4
77,tt1340777,Grand Theft Auto: Chinatown Wars,Followed by Grand Theft Auto V (tt2103188),videoGame,2009,\N,\N,1170,7.4
78,tt1343091,Grand Theft Auto IV: The Lost and Damned,Followed by Grand Theft Auto V (tt2103188),videoGame,2009,\N,\N,4903,8.2
79,tt1340777,Grand Theft Auto: Chinatown Wars,Followed by Grand Theft Auto V (tt2103188),videoGame,2009,\N,\N,1170,7.4
80,tt1450324,Grand Theft Auto IV: The Ballad of Gay Tony,Followed by Grand Theft Auto V (tt2103188),videoGame,2009,\N,\N,5251,8.6
81,tt7369734,Grand Theft Auto: Episodes from Liberty City,Followed by Grand Theft Auto V (tt2103188),videoGame,2009,\N,\N,1225,8.4
82,tt1211837,Doctor Strange,,movie,2016,\N,115,804197,7.5
83,tt9419884,Doctor Strange in the Multiverse of Madness,Follows Doctor Strange (tt1211837),movie,2022,\N,126,477419,6.9
84,tt1479962,Red Dead Redemption,,videoGame,2010,\N,\N,30460,9.4
85,tt0363934,Red Dead Revolver,Followed by Red Dead Redemption (tt1479962),videoGame,2004,\N,\N,1531,7.8
86,tt1806999,Red Dead Redemption: Undead Nightmare,Follows Red Dead Redemption (tt1479962),videoGame,2010,\N,\N,4720,8.4
87,tt6161168,Red Dead Redemption II,Follows Red Dead Redemption (tt1479962),videoGame,2018,\N,\N,54230,9.7
88,tt1825683,Black Panther,,movie,2018,\N,134,836941,7.3
89,tt9114286,Black Panther: Wakanda Forever,Follows Black Panther (tt1825683),movie,2022,\N,161,305087,6.7
90,tt2250912,Spider-Man: Homecoming,,movie,2017,\N,133,718710,7.4
91,tt10872600,Spider-Man: No Way Home,Follows Spider-Man: Homecoming (tt2250912),movie,2021,\N,148,877711,8.2
92,tt4154664,Captain Marvel,,movie,2019,\N,123,610254,6.8
93,tt10676048,The Marvels,Follows Captain Marvel (tt4154664),movie,2023,\N,105,123661,5.5
94,tt2140553,The Last of Us,,videoGame,2013,\N,\N,76017,9.7
95,tt3468818,The Last of Us: Left Behind,Follows The Last of Us (tt2140553),videoGame,2014,\N,\N,12322,8.9
